COUNTYFP,Results,Values
1001,NEVER,0.053
1003,NEVER,0.083
1005,NEVER,0.067
1007,NEVER,0.02
1009,NEVER,0.053
1011,NEVER,0.031
1013,NEVER,0.102
1015,NEVER,0.152
1017,NEVER,0.117
1019,NEVER,0.135
1021,NEVER,0.06
1023,NEVER,0.049
1025,NEVER,0.049
1027,NEVER,0.148
1029,NEVER,0.151
1031,NEVER,0.101
1033,NEVER,0.082
1035,NEVER,0.099
1037,NEVER,0.055
1039,NEVER,0.187
1041,NEVER,0.06
1043,NEVER,0.13
1045,NEVER,0.089
1047,NEVER,0.095
1049,NEVER,0.084
1051,NEVER,0.042
1053,NEVER,0.114
1055,NEVER,0.096
1057,NEVER,0.138
1059,NEVER,0.065
1061,NEVER,0.176
1063,NEVER,0.03
1065,NEVER,0.026
1067,NEVER,0.066
1069,NEVER,0.085
1071,NEVER,0.092
1073,NEVER,0.049
1075,NEVER,0.107
1077,NEVER,0.093
1079,NEVER,0.162
1081,NEVER,0.053
1083,NEVER,0.102
1085,NEVER,0.12
1087,NEVER,0.008
1089,NEVER,0.062
1091,NEVER,0.033
1093,NEVER,0.129
1095,NEVER,0.075
1097,NEVER,0.077
1099,NEVER,0.112
1101,NEVER,0.056
1103,NEVER,0.078
1105,NEVER,0.025
1107,NEVER,0.031
1109,NEVER,0.06
1111,NEVER,0.158
1113,NEVER,0.069
1115,NEVER,0.027
1117,NEVER,0.022
1119,NEVER,0.055
1121,NEVER,0.113
1123,NEVER,0.067
1125,NEVER,0.041
1127,NEVER,0.09
1129,NEVER,0.018
1131,NEVER,0.061
1133,NEVER,0.13
2013,NEVER,0.067
2016,NEVER,0.078
2020,NEVER,0.042
2050,NEVER,0.101
2060,NEVER,0.048
2068,NEVER,0.062
2070,NEVER,0.072
2090,NEVER,0.094
2100,NEVER,0.055
2105,NEVER,0.051
2110,NEVER,0.051
2122,NEVER,0.043
2130,NEVER,0.025
2150,NEVER,0.042
2158,NEVER,0.103
2164,NEVER,0.055
2170,NEVER,0.042
2180,NEVER,0.086
2185,NEVER,0.036
2188,NEVER,0.035
2195,NEVER,0.042
2198,NEVER,0.033
2220,NEVER,0.048
2230,NEVER,0.058
2240,NEVER,0.064
2261,NEVER,0.04
2275,NEVER,0.035
2282,NEVER,0.047
2290,NEVER,0.044
4001,NEVER,0.055
4003,NEVER,0.053
4005,NEVER,0.039
4007,NEVER,0.073
4009,NEVER,0.095
4011,NEVER,0.111
4012,NEVER,0.031
4013,NEVER,0.023
4015,NEVER,0.051
4017,NEVER,0.091
4019,NEVER,0.023
4021,NEVER,0.033
4023,NEVER,0.028
4025,NEVER,0.031
4027,NEVER,0.008
5001,NEVER,0.019
5003,NEVER,0.023
5005,NEVER,0.15
5007,NEVER,0.081
5009,NEVER,0.129
5011,NEVER,0.094
5013,NEVER,0.145
5015,NEVER,0.111
5017,NEVER,0.104
5019,NEVER,0.08
5021,NEVER,0.082
5023,NEVER,0.036
5025,NEVER,0.107
5027,NEVER,0.241
5029,NEVER,0.071
5031,NEVER,0.078
5033,NEVER,0.155
5035,NEVER,0.059
5037,NEVER,0.097
5039,NEVER,0.197
5041,NEVER,0.078
5043,NEVER,0.063
5045,NEVER,0.066
5047,NEVER,0.149
5049,NEVER,0.105
5051,NEVER,0.025
5053,NEVER,0.082
5055,NEVER,0.062
5057,NEVER,0.098
5059,NEVER,0.059
5061,NEVER,0.081
5063,NEVER,0.137
5065,NEVER,0.086
5067,NEVER,0.116
5069,NEVER,0.042
5071,NEVER,0.144
5073,NEVER,0.12
5075,NEVER,0.085
5077,NEVER,0.103
5079,NEVER,0.035
5081,NEVER,0.074
5083,NEVER,0.148
5085,NEVER,0.048
5087,NEVER,0.075
5089,NEVER,0.171
5091,NEVER,0.064
5093,NEVER,0.033
5095,NEVER,0.068
5097,NEVER,0.081
5099,NEVER,0.143
5101,NEVER,0.107
5103,NEVER,0.151
5105,NEVER,0.098
5107,NEVER,0.052
5109,NEVER,0.064
5111,NEVER,0.077
5113,NEVER,0.18
5115,NEVER,0.082
5117,NEVER,0.062
5119,NEVER,0.028
5121,NEVER,0.051
5123,NEVER,0.087
5125,NEVER,0.066
5127,NEVER,0.155
5129,NEVER,0.1
5131,NEVER,0.121
5133,NEVER,0.12
5135,NEVER,0.067
5137,NEVER,0.067
5139,NEVER,0.116
5141,NEVER,0.033
5143,NEVER,0.034
5145,NEVER,0.026
5147,NEVER,0.059
5149,NEVER,0.116
6001,NEVER,0.019
6003,NEVER,0.025
6005,NEVER,0.045
6007,NEVER,0.015
6009,NEVER,0.045
6011,NEVER,0.027
6013,NEVER,0.018
6015,NEVER,0.01
6017,NEVER,0.028
6019,NEVER,0.021
6021,NEVER,0.028
6023,NEVER,0.042
6025,NEVER,0.001
6027,NEVER,0.033
6029,NEVER,0.022
6031,NEVER,0.075
6033,NEVER,0.003
6035,NEVER,0.064
6037,NEVER,0.021
6039,NEVER,0.019
6041,NEVER,0.011
6043,NEVER,0.01
6045,NEVER,0.002
6047,NEVER,0.026
6049,NEVER,0.068
6051,NEVER,0.011
6053,NEVER,0.023
6055,NEVER,0.017
6057,NEVER,0.003
6059,NEVER,0.023
6061,NEVER,0.012
6063,NEVER,0.063
6065,NEVER,0.026
6067,NEVER,0.025
6069,NEVER,0.018
6071,NEVER,0.027
6073,NEVER,0.017
6075,NEVER,0.017
6077,NEVER,0.054
6079,NEVER,0.025
6081,NEVER,0.016
6083,NEVER,0.015
6085,NEVER,0.015
6087,NEVER,0.008
6089,NEVER,0.095
6091,NEVER,0.14
6093,NEVER,0.132
6095,NEVER,0.043
6097,NEVER,0.022
6099,NEVER,0.032
6101,NEVER,0.058
6103,NEVER,0.057
6105,NEVER,0.081
6107,NEVER,0.025
6109,NEVER,0.008
6111,NEVER,0.024
6113,NEVER,0.007
6115,NEVER,0.057
8001,NEVER,0.032
8003,NEVER,0.052
8005,NEVER,0.013
8007,NEVER,0.041
8009,NEVER,0.113
8011,NEVER,0.033
8013,NEVER,0.008
8014,NEVER,0.018
8015,NEVER,0.038
8017,NEVER,0.016
8019,NEVER,0.002
8021,NEVER,0.06
8023,NEVER,0.034
8025,NEVER,0.002
8027,NEVER,0.017
8029,NEVER,0.087
8031,NEVER,0.02
8033,NEVER,0.052
8035,NEVER,0.013
8037,NEVER,0.008
8039,NEVER,0.016
8041,NEVER,0.031
8043,NEVER,0.006
8045,NEVER,0.065
8047,NEVER,0.001
8049,NEVER,0.006
8051,NEVER,0.057
8053,NEVER,0.043
8055,NEVER,0.028
8057,NEVER,0.021
8059,NEVER,0.028
8061,NEVER,0.028
8063,NEVER,0.024
8065,NEVER,0.002
8067,NEVER,0.043
8069,NEVER,0.013
8071,NEVER,0.052
8073,NEVER,0.013
8075,NEVER,0.078
8077,NEVER,0.075
8079,NEVER,0.049
8081,NEVER,0.041
8083,NEVER,0.057
8085,NEVER,0.085
8087,NEVER,0.083
8089,NEVER,0.004
8091,NEVER,0.06
8093,NEVER,0.021
8095,NEVER,0.05
8097,NEVER,0.019
8099,NEVER,0.079
8101,NEVER,0.018
8103,NEVER,0.111
8105,NEVER,0.061
8107,NEVER,0.008
8109,NEVER,0.065
8111,NEVER,0.032
8113,NEVER,0.043
8115,NEVER,0.065
8117,NEVER,0
8119,NEVER,0.105
8121,NEVER,0.077
8123,NEVER,0.046
8125,NEVER,0.038
9001,NEVER,0.027
9003,NEVER,0.015
9005,NEVER,0.017
9007,NEVER,0.003
9009,NEVER,0.023
9011,NEVER,0.025
9013,NEVER,0.008
9015,NEVER,0.022
10001,NEVER,0.026
10003,NEVER,0.027
10005,NEVER,0.005
11001,NEVER,0.012
12001,NEVER,0.001
12003,NEVER,0.087
12005,NEVER,0.065
12007,NEVER,0.106
12009,NEVER,0.068
12011,NEVER,0.026
12013,NEVER,0.034
12015,NEVER,0.051
12017,NEVER,0.09
12019,NEVER,0.055
12021,NEVER,0.04
12023,NEVER,0.047
12027,NEVER,0.023
12029,NEVER,0.071
12031,NEVER,0.049
12033,NEVER,0.019
12035,NEVER,0.079
12037,NEVER,0.022
12039,NEVER,0.06
12041,NEVER,0.016
12043,NEVER,0.047
12045,NEVER,0.046
12047,NEVER,0.101
12049,NEVER,0.114
12051,NEVER,0.046
12053,NEVER,0.09
12055,NEVER,0.025
12057,NEVER,0.023
12059,NEVER,0.17
12061,NEVER,0.054
12063,NEVER,0.064
12065,NEVER,0.019
12067,NEVER,0.102
12069,NEVER,0.047
12071,NEVER,0.052
12073,NEVER,0.051
12075,NEVER,0.017
12077,NEVER,0.022
12079,NEVER,0.164
12081,NEVER,0.074
12083,NEVER,0.046
12085,NEVER,0.027
12086,NEVER,0.032
12087,NEVER,0.007
12089,NEVER,0.09
12091,NEVER,0.091
12093,NEVER,0.016
12095,NEVER,0.02
12097,NEVER,0.025
12099,NEVER,0.03
12101,NEVER,0.027
12103,NEVER,0.025
12105,NEVER,0.05
12107,NEVER,0.068
12109,NEVER,0.047
12111,NEVER,0.077
12113,NEVER,0.047
12115,NEVER,0.017
12117,NEVER,0.037
12119,NEVER,0.037
12121,NEVER,0.105
12123,NEVER,0.103
12125,NEVER,0.044
12127,NEVER,0.035
12129,NEVER,0.032
12131,NEVER,0.092
12133,NEVER,0.138
13001,NEVER,0.085
13003,NEVER,0.059
13005,NEVER,0.071
13007,NEVER,0.027
13009,NEVER,0.02
13011,NEVER,0.136
13013,NEVER,0.063
13015,NEVER,0.215
13017,NEVER,0.129
13019,NEVER,0.073
13021,NEVER,0.043
13023,NEVER,0.089
13025,NEVER,0.047
13027,NEVER,0.092
13029,NEVER,0.033
13031,NEVER,0.053
13033,NEVER,0.105
13035,NEVER,0.125
13037,NEVER,0.013
13039,NEVER,0.136
13043,NEVER,0.037
13045,NEVER,0.089
13047,NEVER,0.143
13049,NEVER,0.065
13051,NEVER,0.035
13053,NEVER,0.061
13055,NEVER,0.116
13057,NEVER,0.049
13059,NEVER,0.054
13061,NEVER,0.028
13063,NEVER,0.038
13065,NEVER,0.06
13067,NEVER,0.039
13069,NEVER,0.085
13071,NEVER,0.108
13073,NEVER,0.061
13075,NEVER,0.098
13077,NEVER,0.105
13079,NEVER,0.057
13081,NEVER,0.119
13083,NEVER,0.128
13085,NEVER,0.049
13087,NEVER,0.093
13089,NEVER,0.036
13091,NEVER,0.145
13093,NEVER,0.077
13095,NEVER,0.033
13097,NEVER,0.083
13099,NEVER,0.045
13101,NEVER,0.097
13103,NEVER,0.044
13105,NEVER,0.132
13107,NEVER,0.062
13109,NEVER,0.03
13111,NEVER,0.075
13113,NEVER,0.06
13115,NEVER,0.186
13117,NEVER,0.035
13119,NEVER,0.168
13121,NEVER,0.026
13123,NEVER,0.128
13125,NEVER,0.156
13127,NEVER,0.048
13129,NEVER,0.172
13131,NEVER,0.063
13133,NEVER,0.062
13135,NEVER,0.036
13137,NEVER,0.063
13139,NEVER,0.061
13141,NEVER,0.043
13143,NEVER,0.184
13145,NEVER,0.093
13147,NEVER,0.092
13149,NEVER,0.126
13151,NEVER,0.103
13153,NEVER,0.032
13155,NEVER,0.098
13157,NEVER,0.125
13159,NEVER,0.082
13161,NEVER,0.124
13163,NEVER,0.251
13165,NEVER,0.114
13167,NEVER,0.119
13169,NEVER,0.049
13171,NEVER,0.07
13173,NEVER,0.102
13175,NEVER,0.122
13177,NEVER,0.035
13179,NEVER,0.007
13181,NEVER,0.073
13183,NEVER,0.014
13185,NEVER,0.108
13187,NEVER,0.035
13189,NEVER,0.072
13191,NEVER,0.034
13193,NEVER,0.078
13195,NEVER,0.165
13197,NEVER,0.084
13199,NEVER,0.109
13201,NEVER,0.064
13205,NEVER,0.044
13207,NEVER,0.072
13209,NEVER,0.114
13211,NEVER,0.061
13213,NEVER,0.193
13215,NEVER,0.063
13217,NEVER,0.094
13219,NEVER,0.049
13221,NEVER,0.056
13223,NEVER,0.097
13225,NEVER,0.027
13227,NEVER,0.038
13229,NEVER,0.05
13231,NEVER,0.059
13233,NEVER,0.106
13235,NEVER,0.079
13237,NEVER,0.059
13239,NEVER,0.053
13241,NEVER,0.1
13243,NEVER,0.016
13245,NEVER,0.068
13247,NEVER,0.058
13249,NEVER,0.07
13251,NEVER,0.198
13253,NEVER,0.073
13255,NEVER,0.072
13257,NEVER,0.087
13259,NEVER,0.055
13261,NEVER,0.055
13263,NEVER,0.168
13265,NEVER,0.065
13267,NEVER,0.051
13269,NEVER,0.126
13271,NEVER,0.156
13273,NEVER,0.019
13275,NEVER,0.026
13277,NEVER,0.066
13279,NEVER,0.097
13281,NEVER,0.076
13283,NEVER,0.096
13285,NEVER,0.175
13287,NEVER,0.141
13289,NEVER,0.04
13291,NEVER,0.065
13293,NEVER,0.16
13295,NEVER,0.144
13297,NEVER,0.106
13299,NEVER,0.061
13301,NEVER,0.095
13303,NEVER,0.104
13305,NEVER,0.029
13307,NEVER,0.019
13309,NEVER,0.135
13311,NEVER,0.057
13313,NEVER,0.185
13315,NEVER,0.173
13317,NEVER,0.08
13319,NEVER,0.039
13321,NEVER,0.069
15001,NEVER,0.01
15003,NEVER,0.011
15005,NEVER,0.026
15007,NEVER,0
15009,NEVER,0.034
16001,NEVER,0.118
16003,NEVER,0.094
16005,NEVER,0.084
16007,NEVER,0.151
16009,NEVER,0.038
16011,NEVER,0.095
16013,NEVER,0.155
16015,NEVER,0.057
16017,NEVER,0.088
16019,NEVER,0.096
16021,NEVER,0.045
16023,NEVER,0.107
16025,NEVER,0.186
16027,NEVER,0.113
16029,NEVER,0.1
16031,NEVER,0.134
16033,NEVER,0.119
16035,NEVER,0.037
16037,NEVER,0.069
16039,NEVER,0.206
16041,NEVER,0.131
16043,NEVER,0.111
16045,NEVER,0.119
16047,NEVER,0.211
16049,NEVER,0.045
16051,NEVER,0.099
16053,NEVER,0.175
16055,NEVER,0.146
16057,NEVER,0.002
16059,NEVER,0.109
16061,NEVER,0.027
16063,NEVER,0.18
16065,NEVER,0.101
16067,NEVER,0.134
16069,NEVER,0.009
16071,NEVER,0.083
16073,NEVER,0.123
16075,NEVER,0.081
16077,NEVER,0.078
16079,NEVER,0.068
16081,NEVER,0.099
16083,NEVER,0.166
16085,NEVER,0.041
16087,NEVER,0.136
17001,NEVER,0.18
17003,NEVER,0.11
17005,NEVER,0.07
17007,NEVER,0.025
17009,NEVER,0.18
17011,NEVER,0.012
17013,NEVER,0.082
17015,NEVER,0.03
17017,NEVER,0.103
17019,NEVER,0
17021,NEVER,0.059
17023,NEVER,0.127
17025,NEVER,0.062
17027,NEVER,0.102
17029,NEVER,0.112
17031,NEVER,0.023
17033,NEVER,0.146
17035,NEVER,0.095
17037,NEVER,0.007
17039,NEVER,0.035
17041,NEVER,0.048
17043,NEVER,0.01
17045,NEVER,0.174
17047,NEVER,0.086
17049,NEVER,0.072
17051,NEVER,0.069
17053,NEVER,0.011
17055,NEVER,0.099
17057,NEVER,0.016
17059,NEVER,0.201
17061,NEVER,0.136
17063,NEVER,0.056
17065,NEVER,0.138
17067,NEVER,0.147
17069,NEVER,0.163
17071,NEVER,0.096
17073,NEVER,0.067
17075,NEVER,0.097
17077,NEVER,0.066
17079,NEVER,0.099
17081,NEVER,0.122
17083,NEVER,0.074
17085,NEVER,0.034
17087,NEVER,0.124
17089,NEVER,0.013
17091,NEVER,0.044
17093,NEVER,0.001
17095,NEVER,0.035
17097,NEVER,0.02
17099,NEVER,0.018
17101,NEVER,0.197
17103,NEVER,0.013
17105,NEVER,0.03
17107,NEVER,0.046
17109,NEVER,0.041
17111,NEVER,0.03
17113,NEVER,0.085
17115,NEVER,0.016
17117,NEVER,0.015
17119,NEVER,0.035
17121,NEVER,0.1
17123,NEVER,0.048
17125,NEVER,0.238
17127,NEVER,0.097
17129,NEVER,0.102
17131,NEVER,0.039
17133,NEVER,0.003
17135,NEVER,0.018
17137,NEVER,0.05
17139,NEVER,0.081
17141,NEVER,0.053
17143,NEVER,0.039
17145,NEVER,0.055
17147,NEVER,0.003
17149,NEVER,0.138
17151,NEVER,0.104
17153,NEVER,0.117
17155,NEVER,0.021
17157,NEVER,0.008
17159,NEVER,0.111
17161,NEVER,0.078
17163,NEVER,0.032
17165,NEVER,0.117
17167,NEVER,0.017
17169,NEVER,0.132
17171,NEVER,0.113
17173,NEVER,0.07
17175,NEVER,0.013
17177,NEVER,0.036
17179,NEVER,0.044
17181,NEVER,0.1
17183,NEVER,0.023
17185,NEVER,0.078
17187,NEVER,0.042
17189,NEVER,0.118
17191,NEVER,0.086
17193,NEVER,0.19
17195,NEVER,0.025
17197,NEVER,0.041
17199,NEVER,0.095
17201,NEVER,0.031
17203,NEVER,0.062
18001,NEVER,0.136
18003,NEVER,0.07
18005,NEVER,0.138
18007,NEVER,0.082
18009,NEVER,0.093
18011,NEVER,0.052
18013,NEVER,0.055
18015,NEVER,0.059
18017,NEVER,0.037
18019,NEVER,0.068
18021,NEVER,0.122
18023,NEVER,0.088
18025,NEVER,0.067
18027,NEVER,0.049
18029,NEVER,0.083
18031,NEVER,0.175
18033,NEVER,0.109
18035,NEVER,0.095
18037,NEVER,0.01
18039,NEVER,0.03
18041,NEVER,0.161
18043,NEVER,0.053
18045,NEVER,0.077
18047,NEVER,0.07
18049,NEVER,0.142
18051,NEVER,0.09
18053,NEVER,0.053
18055,NEVER,0.099
18057,NEVER,0.07
18059,NEVER,0.068
18061,NEVER,0.094
18063,NEVER,0.054
18065,NEVER,0.183
18067,NEVER,0.008
18069,NEVER,0.15
18071,NEVER,0.097
18073,NEVER,0.186
18075,NEVER,0.141
18077,NEVER,0.083
18079,NEVER,0.095
18081,NEVER,0.057
18083,NEVER,0.158
18085,NEVER,0.073
18087,NEVER,0.059
18089,NEVER,0.043
18091,NEVER,0.084
18093,NEVER,0.092
18095,NEVER,0.062
18097,NEVER,0.051
18099,NEVER,0.12
18101,NEVER,0.041
18103,NEVER,0.054
18105,NEVER,0.037
18107,NEVER,0.07
18109,NEVER,0.06
18111,NEVER,0.102
18113,NEVER,0.057
18115,NEVER,0.06
18117,NEVER,0.096
18119,NEVER,0.094
18121,NEVER,0.116
18123,NEVER,0.01
18125,NEVER,0.052
18127,NEVER,0.05
18129,NEVER,0.132
18131,NEVER,0.135
18133,NEVER,0.075
18135,NEVER,0.128
18137,NEVER,0.054
18139,NEVER,0.133
18141,NEVER,0.031
18143,NEVER,0.036
18145,NEVER,0.16
18147,NEVER,0.017
18149,NEVER,0.177
18151,NEVER,0.04
18153,NEVER,0.127
18155,NEVER,0.089
18157,NEVER,0.093
18159,NEVER,0.033
18161,NEVER,0.095
18163,NEVER,0.07
18165,NEVER,0.113
18167,NEVER,0.118
18169,NEVER,0.07
18171,NEVER,0.079
18173,NEVER,0.045
18175,NEVER,0.097
18177,NEVER,0.162
18179,NEVER,0.205
18181,NEVER,0.056
18183,NEVER,0.061
19001,NEVER,0.073
19003,NEVER,0.148
19005,NEVER,0.138
19007,NEVER,0.044
19009,NEVER,0.224
19011,NEVER,0.098
19013,NEVER,0.032
19015,NEVER,0.09
19017,NEVER,0.048
19019,NEVER,0.021
19021,NEVER,0.183
19023,NEVER,0.052
19025,NEVER,0.212
19027,NEVER,0.153
19029,NEVER,0.341
19031,NEVER,0.026
19033,NEVER,0.061
19035,NEVER,0.183
19037,NEVER,0.075
19039,NEVER,0.078
19041,NEVER,0.224
19043,NEVER,0.123
19045,NEVER,0.092
19047,NEVER,0.089
19049,NEVER,0.036
19051,NEVER,0.038
19053,NEVER,0.248
19055,NEVER,0.035
19057,NEVER,0.135
19059,NEVER,0.276
19061,NEVER,0.037
19063,NEVER,0.241
19065,NEVER,0.054
19067,NEVER,0.063
19069,NEVER,0.088
19071,NEVER,0.048
19073,NEVER,0.116
19075,NEVER,0.038
19077,NEVER,0.162
19079,NEVER,0.143
19081,NEVER,0.08
19083,NEVER,0.074
19085,NEVER,0.118
19087,NEVER,0.123
19089,NEVER,0.077
19091,NEVER,0.243
19093,NEVER,0.153
19095,NEVER,0.027
19097,NEVER,0.032
19099,NEVER,0.102
19101,NEVER,0.074
19103,NEVER,0.014
19105,NEVER,0.04
19107,NEVER,0.035
19109,NEVER,0.135
19111,NEVER,0.17
19113,NEVER,0.039
19115,NEVER,0.097
19117,NEVER,0.032
19119,NEVER,0.078
19121,NEVER,0.01
19123,NEVER,0.069
19125,NEVER,0.053
19127,NEVER,0.077
19129,NEVER,0.064
19131,NEVER,0.046
19133,NEVER,0.078
19135,NEVER,0.034
19137,NEVER,0.218
19139,NEVER,0.12
19141,NEVER,0.173
19143,NEVER,0.195
19145,NEVER,0.088
19147,NEVER,0.199
19149,NEVER,0.125
19151,NEVER,0.214
19153,NEVER,0.044
19155,NEVER,0.115
19157,NEVER,0.121
19159,NEVER,0.144
19161,NEVER,0.18
19163,NEVER,0.075
19165,NEVER,0.099
19167,NEVER,0.12
19169,NEVER,0.045
19171,NEVER,0.066
19173,NEVER,0.09
19175,NEVER,0.03
19177,NEVER,0.107
19179,NEVER,0.034
19181,NEVER,0.055
19183,NEVER,0.035
19185,NEVER,0.138
19187,NEVER,0.209
19189,NEVER,0.07
19191,NEVER,0.122
19193,NEVER,0.113
19195,NEVER,0.072
19197,NEVER,0.172
20001,NEVER,0.153
20003,NEVER,0.189
20005,NEVER,0.137
20007,NEVER,0.069
20009,NEVER,0.107
20011,NEVER,0.167
20013,NEVER,0.089
20015,NEVER,0.053
20017,NEVER,0.151
20019,NEVER,0.128
20021,NEVER,0.131
20023,NEVER,0.065
20025,NEVER,0.163
20027,NEVER,0.081
20029,NEVER,0.154
20031,NEVER,0.085
20033,NEVER,0.112
20035,NEVER,0.075
20037,NEVER,0.108
20039,NEVER,0.163
20041,NEVER,0.106
20043,NEVER,0.137
20045,NEVER,0.006
20047,NEVER,0.052
20049,NEVER,0.061
20051,NEVER,0.154
20053,NEVER,0.174
20055,NEVER,0.166
20057,NEVER,0.143
20059,NEVER,0.063
20061,NEVER,0.05
20063,NEVER,0.24
20065,NEVER,0.218
20067,NEVER,0.14
20069,NEVER,0.158
20071,NEVER,0.135
20073,NEVER,0.034
20075,NEVER,0.131
20077,NEVER,0.079
20079,NEVER,0.075
20081,NEVER,0.153
20083,NEVER,0.126
20085,NEVER,0.01
20087,NEVER,0.026
20089,NEVER,0.171
20091,NEVER,0.029
20093,NEVER,0.155
20095,NEVER,0.081
20097,NEVER,0.062
20099,NEVER,0.168
20101,NEVER,0.197
20103,NEVER,0.087
20105,NEVER,0.171
20107,NEVER,0.14
20109,NEVER,0.206
20111,NEVER,0.113
20113,NEVER,0.12
20115,NEVER,0.101
20117,NEVER,0.048
20119,NEVER,0.164
20121,NEVER,0.071
20123,NEVER,0.173
20125,NEVER,0.164
20127,NEVER,0.11
20129,NEVER,0.12
20131,NEVER,0.035
20133,NEVER,0.133
20135,NEVER,0.15
20137,NEVER,0.161
20139,NEVER,0.018
20141,NEVER,0.174
20143,NEVER,0.131
20145,NEVER,0.053
20147,NEVER,0.15
20149,NEVER,0.012
20151,NEVER,0.02
20153,NEVER,0.128
20155,NEVER,0.135
20157,NEVER,0.183
20159,NEVER,0.153
20161,NEVER,0.03
20163,NEVER,0.179
20165,NEVER,0.11
20167,NEVER,0.16
20169,NEVER,0.126
20171,NEVER,0.197
20173,NEVER,0.06
20175,NEVER,0.138
20177,NEVER,0.009
20179,NEVER,0.231
20181,NEVER,0.1
20183,NEVER,0.142
20185,NEVER,0.041
20187,NEVER,0.127
20189,NEVER,0.122
20191,NEVER,0.104
20193,NEVER,0.188
20195,NEVER,0.203
20197,NEVER,0.011
20199,NEVER,0.128
20201,NEVER,0.148
20203,NEVER,0.173
20205,NEVER,0.125
20207,NEVER,0.092
20209,NEVER,0.025
21001,NEVER,0.076
21003,NEVER,0.101
21005,NEVER,0.062
21007,NEVER,0.107
21009,NEVER,0.053
21011,NEVER,0.076
21013,NEVER,0.146
21015,NEVER,0.08
21017,NEVER,0.024
21019,NEVER,0.084
21021,NEVER,0.092
21023,NEVER,0.056
21025,NEVER,0.114
21027,NEVER,0.023
21029,NEVER,0.037
21031,NEVER,0.066
21033,NEVER,0.059
21035,NEVER,0.066
21037,NEVER,0.073
21039,NEVER,0.104
21041,NEVER,0.155
21043,NEVER,0.069
21045,NEVER,0.164
21047,NEVER,0.06
21049,NEVER,0.083
21051,NEVER,0.153
21053,NEVER,0.096
21055,NEVER,0.121
21057,NEVER,0.067
21059,NEVER,0.055
21061,NEVER,0.055
21063,NEVER,0.117
21065,NEVER,0.082
21067,NEVER,0.031
21069,NEVER,0.068
21071,NEVER,0.131
21073,NEVER,0.088
21075,NEVER,0.1
21077,NEVER,0.076
21079,NEVER,0.077
21081,NEVER,0.047
21083,NEVER,0.103
21085,NEVER,0.043
21087,NEVER,0.063
21089,NEVER,0.092
21091,NEVER,0.019
21093,NEVER,0.057
21095,NEVER,0.076
21097,NEVER,0.073
21099,NEVER,0.053
21101,NEVER,0.072
21103,NEVER,0.093
21105,NEVER,0.097
21107,NEVER,0.04
21109,NEVER,0.183
21111,NEVER,0.036
21113,NEVER,0.022
21115,NEVER,0.102
21117,NEVER,0.052
21119,NEVER,0.157
21121,NEVER,0.187
21123,NEVER,0.074
21125,NEVER,0.201
21127,NEVER,0.155
